Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
77.06,51,48975.56,195.23,Advanced mobile framework,New Michael,1,Nauru,08-03-2016 06:00,1
32.68,25,21355.11,168.62,Monitored national standardization,Davidton,0,San Marino,08-03-2016 12:00,0
49.86,45,77507.76,146.37,Optimized content strategy,Davidton,0,India,08-03-2016 18:00,1
31.75,57,72985.84,189.92,Optimized content strategy,Millerport,0,Italy,09-03-2016 00:00,0
46.7,22,54640.87,259.9,Organic bottom-line service-desk,Lake Jose,1,Italy,09-03-2016 06:00,1
36.84,60,71758.19,205.54,Vision-oriented solution,Millerport,1,Nauru,09-03-2016 12:00,1
51.12,47,57041.76,262.75,Robust logistical utilization,West Jodi,0,France,09-03-2016 18:00,0
44.31,25,30982.67,238.69,Optimized content strategy,Millerport,0,India,10-03-2016 00:00,1
41.15,58,52242.76,283.83,Organic bottom-line service-desk,Davidton,1,Iceland,10-03-2016 06:00,0
41.23,46,57164.6,273.1,Cloned 5thgeneration orchestration,New Michael,0,Italy,10-03-2016 12:00,1
87.83,50,59184.19,181.83,Advanced mobile framework,Millerport,1,Canada,10-03-2016 18:00,0
34.96,19,67752.85,144.11,Cloned 5thgeneration orchestration,South Manuel,0,Iceland,11-03-2016 00:00,0
76.84,54,64551.1,253.18,Monitored national standardization,West Jodi,1,France,11-03-2016 06:00,0
75.6,46,52781.2,297.96,Monitored national standardization,West Terrifurt,1,Tunisia,11-03-2016 12:00,1
45.77,23,46344.19,298.79,Triple-buffered reciprocal time-frame,West Terrifurt,1,India,11-03-2016 18:00,0
66.97,31,68811.79,261.09,Vision-oriented solution,South Manuel,0,France,12-03-2016 00:00,1
47.36,35,77143.84,202.88,Monitored national standardization,Davidton,1,Tunisia,12-03-2016 06:00,1
82.02,26,62085.59,126.54,Organic bottom-line service-desk,Lake Jose,0,India,12-03-2016 12:00,1
38.53,58,36123.03,182.85,Advanced mobile framework,West Jodi,0,India,12-03-2016 18:00,1
71.68,41,47281.74,197.61,Cloned 5thgeneration orchestration,West Jodi,1,France,13-03-2016 00:00,0
77.74,43,33069.8,185.93,Triple-buffered reciprocal time-frame,New Michael,1,France,13-03-2016 06:00,1
50.27,54,27835.66,270.48,Vision-oriented solution,Wrightburgh,0,Nauru,13-03-2016 12:00,1
30.98,28,46477.16,100.14,Optimized content strategy,West Terrifurt,0,Iceland,13-03-2016 18:00,0
82.47,35,25600.4,172.09,Monitored national standardization,Lake Jose,0,Tunisia,14-03-2016 00:00,1
67.54,32,45753.86,118.24,Monitored national standardization,Wrightburgh,0,Canada,14-03-2016 06:00,0
37.96,32,51166.66,189.01,Cloned 5thgeneration orchestration,Lake Jose,0,India,14-03-2016 12:00,0
58.66,32,42984.2,246.15,Monitored national standardization,West Jodi,1,France,14-03-2016 18:00,1
38.23,26,58494.57,235.43,Monitored national standardization,Wrightburgh,0,Canada,15-03-2016 00:00,1
73.35,58,64896.13,283.98,Advanced mobile framework,West Terrifurt,0,Nauru,15-03-2016 06:00,0
75.15,55,63800.55,170.31,Optimized content strategy,Lake Jose,0,Italy,15-03-2016 12:00,1
68.68,33,53203.8,220.0,Robust logistical utilization,Wrightburgh,1,Italy,15-03-2016 18:00,0
74.87,36,58770.19,256.76,Triple-buffered reciprocal time-frame,New Michael,1,Nauru,16-03-2016 00:00,0
59.97,56,24260.72,277.74,Cloned 5thgeneration orchestration,Lake Jose,1,San Marino,16-03-2016 06:00,1
81.65,54,45251.81,209.27,Organic bottom-line service-desk,New Michael,0,Tunisia,16-03-2016 12:00,0
30.83,31,22389.61,112.09,Optimized content strategy,South Manuel,1,India,16-03-2016 18:00,1
34.95,52,52259.32,130.54,Monitored national standardization,South Manuel,0,Italy,17-03-2016 00:00,0
62.18,43,55186.23,252.64,Monitored national standardization,South Manuel,1,Italy,17-03-2016 06:00,0
44.67,45,26959.19,222.46,Cloned 5thgeneration orchestration,South Manuel,0,Nauru,17-03-2016 12:00,0
72.47,18,29829.96,290.6,Robust logistical utilization,Davidton,1,San Marino,17-03-2016 18:00,1
73.98,25,66285.82,105.87,Optimized content strategy,South Manuel,0,Iceland,18-03-2016 00:00,0
59.77,50,41607.43,199.92,Organic bottom-line service-desk,Lake Jose,0,Iceland,18-03-2016 06:00,0
83.66,25,33704.27,201.76,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,18-03-2016 12:00,1
51.84,27,30737.66,292.07,Cloned 5thgeneration orchestration,Millerport,0,France,18-03-2016 18:00,0
54.98,38,36275.48,115.58,Vision-oriented solution,West Jodi,0,San Marino,19-03-2016 00:00,0
78.26,20,77244.76,113.79,Advanced mobile framework,South Manuel,1,France,19-03-2016 06:00,0
63.19,18,42135.16,158.32,Robust logistical utilization,West Terrifurt,1,France,19-03-2016 12:00,1
89.87,30,63947.8,209.31,Triple-buffered reciprocal time-frame,Davidton,0,India,19-03-2016 18:00,0
43.98,40,58156.51,238.69,Cloned 5thgeneration orchestration,Lake Jose,0,India,20-03-2016 00:00,1
36.24,51,78986.94,183.96,Cloned 5thgeneration orchestration,Davidton,1,Nauru,20-03-2016 06:00,0
85.28,51,44783.41,279.12,Advanced mobile framework,West Jodi,0,San Marino,20-03-2016 12:00,1
34.49,54,23736.97,232.49,Organic bottom-line service-desk,West Terrifurt,1,Iceland,20-03-2016 18:00,1
85.56,43,62043.54,247.07,Vision-oriented solution,New Michael,1,Italy,21-03-2016 00:00,0
86.61,26,66796.22,216.94,Organic bottom-line service-desk,West Jodi,0,Canada,21-03-2016 06:00,1
48.84,25,52155.47,292.93,Triple-buffered reciprocal time-frame,New Michael,1,Canada,21-03-2016 12:00,1
81.15,23,29456.92,237.21,Cloned 5thgeneration orchestration,West Terrifurt,1,San Marino,21-03-2016 18:00,0
72.67,40,43774.67,109.79,Robust logistical utilization,South Manuel,0,Tunisia,22-03-2016 00:00,1
81.28,53,64884.71,149.97,Advanced mobile framework,West Jodi,0,Nauru,22-03-2016 06:00,0
33.7,32,27842.91,264.73,Vision-oriented solution,West Jodi,1,Nauru,22-03-2016 12:00,0
89.83,30,74149.76,188.69,Organic bottom-line service-desk,West Jodi,1,Nauru,22-03-2016 18:00,0
86.54,21,30079.35,214.78,Optimized content strategy,New Michael,0,India,23-03-2016 00:00,1
40.37,31,74498.25,155.0,Advanced mobile framework,Davidton,0,Italy,23-03-2016 06:00,1
59.93,53,48741.86,117.54,Optimized content strategy,Davidton,1,Italy,23-03-2016 12:00,0
67.85,52,67690.77,297.88,Vision-oriented solution,New Michael,1,France,23-03-2016 18:00,1
53.3,29,21563.78,219.42,Cloned 5thgeneration orchestration,South Manuel,0,Canada,24-03-2016 00:00,1
76.01,32,78438.79,120.03,Triple-buffered reciprocal time-frame,South Manuel,0,Italy,24-03-2016 06:00,1
51.29,29,30566.02,218.5,Vision-oriented solution,Wrightburgh,1,San Marino,24-03-2016 12:00,0
80.2,49,52527.48,135.11,Cloned 5thgeneration orchestration,West Jodi,0,Italy,24-03-2016 18:00,0
31.2,48,20041.01,283.58,Triple-buffered reciprocal time-frame,Davidton,1,San Marino,25-03-2016 00:00,1
33.57,27,55196.55,283.44,Monitored national standardization,Lake Jose,0,France,25-03-2016 06:00,1
65.16,39,38105.91,127.29,Organic bottom-line service-desk,Millerport,1,France,25-03-2016 12:00,0
72.43,53,61613.62,285.77,Vision-oriented solution,West Terrifurt,0,India,25-03-2016 18:00,1
74.04,36,27640.9,245.77,Optimized content strategy,Wrightburgh,0,France,26-03-2016 00:00,0
68.38,24,76201.27,128.13,Monitored national standardization,West Terrifurt,1,France,26-03-2016 06:00,0
68.17,23,69299.71,234.0,Vision-oriented solution,New Michael,0,Iceland,26-03-2016 12:00,0
44.97,22,41028.87,257.4,Cloned 5thgeneration orchestration,Wrightburgh,1,Canada,26-03-2016 18:00,1
88.15,44,49584.92,175.74,Optimized content strategy,West Jodi,1,Italy,27-03-2016 00:00,0
57.08,20,37694.52,163.74,Monitored national standardization,West Jodi,1,San Marino,27-03-2016 06:00,1
39.65,22,52822.78,279.62,Monitored national standardization,Lake Jose,1,Tunisia,27-03-2016 12:00,1
86.55,28,56439.06,186.84,Cloned 5thgeneration orchestration,West Jodi,1,Italy,27-03-2016 18:00,0
54.56,53,63322.29,245.99,Robust logistical utilization,South Manuel,1,Italy,28-03-2016 00:00,0
32.98,54,52979.76,198.19,Cloned 5thgeneration orchestration,Lake Jose,0,India,28-03-2016 06:00,0
47.67,60,57505.46,196.07,Monitored national standardization,Wrightburgh,0,San Marino,28-03-2016 12:00,1
88.62,48,70626.14,161.67,Optimized content strategy,New Michael,1,Iceland,28-03-2016 18:00,0
68.51,42,31092.87,277.1,Vision-oriented solution,Davidton,1,Tunisia,29-03-2016 00:00,1
56.38,34,33574.54,153.71,Cloned 5thgeneration orchestration,Davidton,0,Nauru,29-03-2016 06:00,1
78.49,44,78242.33,217.95,Cloned 5thgeneration orchestration,Millerport,1,Canada,29-03-2016 12:00,0
58.58,23,43688.26,270.79,Cloned 5thgeneration orchestration,Davidton,0,Canada,29-03-2016 18:00,0
86.94,28,78329.89,261.69,Organic bottom-line service-desk,Wrightburgh,1,Nauru,30-03-2016 00:00,1
42.12,58,28872.7,219.01,Vision-oriented solution,West Jodi,0,India,30-03-2016 06:00,1
63.12,35,51181.29,283.43,Cloned 5thgeneration orchestration,Millerport,0,India,30-03-2016 12:00,0
38.89,55,54960.63,292.97,Monitored national standardization,West Jodi,0,Iceland,30-03-2016 18:00,1
82.67,34,42982.61,197.12,Advanced mobile framework,Wrightburgh,0,Iceland,31-03-2016 00:00,1
38.63,56,60848.77,180.34,Optimized content strategy,Lake Jose,0,Tunisia,31-03-2016 06:00,1
85.25,41,21213.97,263.48,Robust logistical utilization,South Manuel,1,Canada,31-03-2016 12:00,0
88.35,32,28063.13,294.84,Advanced mobile framework,Lake Jose,1,India,31-03-2016 18:00,0
41.28,31,74805.97,181.43,Advanced mobile framework,Lake Jose,0,San Marino,01-04-2016 00:00,0
48.67,50,44203.11,256.1,Cloned 5thgeneration orchestration,Davidton,0,Italy,01-04-2016 06:00,0
44.97,47,23033.56,172.08,Triple-buffered reciprocal time-frame,South Manuel,1,Canada,01-04-2016 12:00,1
68.12,25,60870.46,148.39,Advanced mobile framework,New Michael,0,Canada,01-04-2016 18:00,1
50.65,34,64937.67,237.77,Robust logistical utilization,Wrightburgh,1,Tunisia,02-04-2016 00:00,0
81.23,31,71426.67,229.48,Triple-buffered reciprocal time-frame,South Manuel,1,Tunisia,02-04-2016 06:00,0
58.45,26,58842.29,220.23,Cloned 5thgeneration orchestration,West Terrifurt,1,Iceland,02-04-2016 12:00,1
55.43,42,71095.17,191.8,Triple-buffered reciprocal time-frame,New Michael,1,India,02-04-2016 18:00,0
30.44,60,77989.13,267.88,Robust logistical utilization,South Manuel,0,Canada,03-04-2016 00:00,0
50.18,35,58435.68,272.3,Robust logistical utilization,South Manuel,0,San Marino,03-04-2016 06:00,0
83.98,56,44245.91,163.92,Organic bottom-line service-desk,Wrightburgh,1,Iceland,03-04-2016 12:00,1
84.41,43,43296.5,107.06,Triple-buffered reciprocal time-frame,Lake Jose,0,Canada,03-04-2016 18:00,1
60.44,28,70438.32,275.3,Organic bottom-line service-desk,South Manuel,0,Canada,04-04-2016 00:00,0
74.46,53,65775.09,136.61,Vision-oriented solution,West Jodi,0,France,04-04-2016 06:00,0
74.65,37,45228.35,277.37,Vision-oriented solution,South Manuel,1,Canada,04-04-2016 12:00,0
58.23,58,55014.48,288.86,Monitored national standardization,New Michael,0,Nauru,04-04-2016 18:00,1
61.79,44,23243.72,270.85,Organic bottom-line service-desk,West Terrifurt,1,India,05-04-2016 00:00,1
38.59,29,66736.47,197.52,Organic bottom-line service-desk,Lake Jose,0,Tunisia,05-04-2016 06:00,1
46.41,28,54576.73,131.69,Monitored national standardization,Davidton,1,India,05-04-2016 12:00,1
55.74,48,42998.99,107.55,Triple-buffered reciprocal time-frame,Lake Jose,0,France,05-04-2016 18:00,0
31.07,18,57601.22,149.76,Vision-oriented solution,South Manuel,0,Nauru,06-04-2016 00:00,1
60.2,37,30021.21,264.77,Robust logistical utilization,South Manuel,1,France,06-04-2016 06:00,1
83.28,26,40563.97,280.28,Vision-oriented solution,West Terrifurt,0,India,06-04-2016 12:00,0
43.71,26,32671.41,104.38,Organic bottom-line service-desk,West Jodi,1,Tunisia,06-04-2016 18:00,1
82.59,34,66274.98,224.63,Cloned 5thgeneration orchestration,West Jodi,0,Tunisia,07-04-2016 00:00,0
55.01,42,27415.7,150.55,Organic bottom-line service-desk,West Terrifurt,0,Iceland,07-04-2016 06:00,1
69.7,60,51218.55,224.56,Organic bottom-line service-desk,Millerport,0,Nauru,07-04-2016 12:00,1
36.84,24,49864.34,221.8,Robust logistical utilization,West Terrifurt,1,India,07-04-2016 18:00,1
39.62,53,49781.28,141.54,Advanced mobile framework,Lake Jose,0,Tunisia,08-04-2016 00:00,0
70.3,25,70113.93,233.8,Organic bottom-line service-desk,West Jodi,0,Nauru,08-04-2016 06:00,1
68.66,47,79319.96,159.2,Advanced mobile framework,Wrightburgh,0,San Marino,08-04-2016 12:00,0
81.13,41,68095.77,162.54,Monitored national standardization,West Jodi,0,Tunisia,08-04-2016 18:00,0
69.8,28,39719.65,278.91,Robust logistical utilization,West Jodi,1,France,09-04-2016 00:00,0
36.83,43,77738.6,154.37,Optimized content strategy,New Michael,1,San Marino,09-04-2016 06:00,0
37.95,21,78894.15,268.87,Monitored national standardization,Millerport,1,Canada,09-04-2016 12:00,0
66.68,40,56681.51,272.52,Organic bottom-line service-desk,New Michael,1,Nauru,09-04-2016 18:00,1
56.44,22,35696.77,162.85,Triple-buffered reciprocal time-frame,Lake Jose,0,India,10-04-2016 00:00,0
58.92,60,60577.73,176.98,Cloned 5thgeneration orchestration,Wrightburgh,0,Canada,10-04-2016 06:00,1
82.16,22,65085.8,164.13,Vision-oriented solution,South Manuel,0,Italy,10-04-2016 12:00,1
54.2,33,24729.84,188.84,Advanced mobile framework,West Jodi,1,Canada,10-04-2016 18:00,1
37.12,49,64714.34,103.55,Optimized content strategy,Millerport,0,Tunisia,11-04-2016 00:00,0
77.51,57,58252.29,278.02,Triple-buffered reciprocal time-frame,New Michael,1,France,11-04-2016 06:00,0
79.0,47,39918.36,253.48,Advanced mobile framework,Lake Jose,1,Nauru,11-04-2016 12:00,0
75.56,32,20131.82,171.03,Robust logistical utilization,Lake Jose,0,Tunisia,11-04-2016 18:00,0
59.55,44,26417.69,222.17,Triple-buffered reciprocal time-frame,West Jodi,1,Italy,12-04-2016 00:00,1
79.47,30,63007.27,121.55,Optimized content strategy,Wrightburgh,0,Canada,12-04-2016 06:00,1
69.51,50,28078.16,199.77,Cloned 5thgeneration orchestration,Millerport,1,San Marino,12-04-2016 12:00,0
73.83,26,26213.24,231.5,Vision-oriented solution,Millerport,1,Italy,12-04-2016 18:00,1
53.87,39,78229.5,190.57,Organic bottom-line service-desk,Davidton,1,Iceland,13-04-2016 00:00,1
72.71,53,57955.0,140.18,Robust logistical utilization,Lake Jose,0,San Marino,13-04-2016 06:00,1
72.62,40,53736.81,216.56,Optimized content strategy,South Manuel,1,Tunisia,13-04-2016 12:00,0
31.52,27,23183.9,111.32,Robust logistical utilization,Davidton,1,Iceland,13-04-2016 18:00,0
80.36,36,32240.05,208.23,Vision-oriented solution,New Michael,0,Italy,14-04-2016 00:00,1
44.26,36,61576.16,109.4,Optimized content strategy,Millerport,1,France,14-04-2016 06:00,0
30.78,34,32185.23,273.77,Advanced mobile framework,West Terrifurt,1,Italy,14-04-2016 12:00,0
47.65,29,79007.2,114.89,Organic bottom-line service-desk,West Jodi,1,Tunisia,14-04-2016 18:00,1
46.75,34,27803.99,216.8,Robust logistical utilization,Wrightburgh,1,Canada,15-04-2016 00:00,0
32.4,38,55812.82,254.73,Robust logistical utilization,New Michael,1,Nauru,15-04-2016 06:00,1
61.52,29,51236.38,257.25,Organic bottom-line service-desk,Millerport,1,Nauru,15-04-2016 12:00,1
43.27,31,59800.07,166.21,Robust logistical utilization,West Terrifurt,1,Tunisia,15-04-2016 18:00,0
70.14,46,34420.87,228.45,Triple-buffered reciprocal time-frame,Wrightburgh,1,India,16-04-2016 00:00,0
53.15,52,63438.54,104.94,Vision-oriented solution,New Michael,1,Tunisia,16-04-2016 06:00,1
83.9,30,39218.77,116.47,Monitored national standardization,Davidton,0,Nauru,16-04-2016 12:00,0
70.22,31,71897.05,184.84,Monitored national standardization,West Terrifurt,1,Nauru,16-04-2016 18:00,0
31.43,39,22273.18,114.65,Organic bottom-line service-desk,South Manuel,0,Italy,17-04-2016 00:00,1
54.46,46,57813.04,186.61,Cloned 5thgeneration orchestration,Millerport,0,Tunisia,17-04-2016 06:00,0
75.36,55,22731.01,269.65,Vision-oriented solution,West Jodi,1,Iceland,17-04-2016 12:00,0
46.89,46,42884.81,264.42,Cloned 5thgeneration orchestration,New Michael,0,Italy,17-04-2016 18:00,0
74.81,52,37698.71,226.81,Robust logistical utilization,Lake Jose,0,San Marino,18-04-2016 00:00,0
32.51,54,55799.29,207.43,Monitored national standardization,South Manuel,0,France,18-04-2016 06:00,0
54.76,59,71087.53,128.49,Organic bottom-line service-desk,West Terrifurt,1,Italy,18-04-2016 12:00,0
40.88,54,71135.07,270.28,Advanced mobile framework,West Jodi,1,Nauru,18-04-2016 18:00,1
35.89,55,49231.42,166.17,Organic bottom-line service-desk,West Terrifurt,0,Iceland,19-04-2016 00:00,0
84.01,38,49151.67,165.67,Robust logistical utilization,Davidton,1,France,19-04-2016 06:00,1
40.12,38,34770.51,144.31,Optimized content strategy,South Manuel,1,San Marino,19-04-2016 12:00,1
82.67,47,46721.48,254.95,Advanced mobile framework,West Jodi,0,Nauru,19-04-2016 18:00,1
81.52,26,73477.82,139.29,Monitored national standardization,West Jodi,0,Tunisia,20-04-2016 00:00,1
76.15,31,74378.21,210.32,Advanced mobile framework,Davidton,1,India,20-04-2016 06:00,0
83.49,55,63993.61,158.2,Advanced mobile framework,West Jodi,1,France,20-04-2016 12:00,0
69.76,57,61049.7,251.44,Organic bottom-line service-desk,New Michael,0,San Marino,20-04-2016 18:00,0
74.16,48,76350.52,108.08,Advanced mobile framework,West Terrifurt,0,Iceland,21-04-2016 00:00,1
44.04,60,32406.44,281.55,Vision-oriented solution,Millerport,1,Canada,21-04-2016 06:00,0
32.39,59,39444.27,240.75,Robust logistical utilization,South Manuel,0,India,21-04-2016 12:00,1
51.92,59,73893.6,115.57,Robust logistical utilization,Millerport,0,India,21-04-2016 18:00,1
79.03,40,49211.69,196.42,Cloned 5thgeneration orchestration,Davidton,1,San Marino,22-04-2016 00:00,0
34.63,59,36848.57,130.05,Organic bottom-line service-desk,Lake Jose,0,Italy,22-04-2016 06:00,1
78.67,25,48891.0,195.76,Triple-buffered reciprocal time-frame,Davidton,1,Tunisia,22-04-2016 12:00,0
32.59,54,55540.86,126.94,Cloned 5thgeneration orchestration,Davidton,0,San Marino,22-04-2016 18:00,1
85.35,51,77494.3,219.87,Cloned 5thgeneration orchestration,South Manuel,0,Italy,23-04-2016 00:00,1
66.39,48,72038.14,134.11,Optimized content strategy,Davidton,0,Iceland,23-04-2016 06:00,0
73.45,39,75341.12,219.31,Monitored national standardization,West Terrifurt,1,India,23-04-2016 12:00,0
36.51,30,51362.68,281.87,Optimized content strategy,Davidton,0,San Marino,23-04-2016 18:00,1
84.1,56,22342.19,256.77,Monitored national standardization,West Jodi,1,San Marino,24-04-2016 00:00,0
83.82,59,45889.81,184.14,Cloned 5thgeneration orchestration,Millerport,0,Canada,24-04-2016 06:00,1
51.03,54,25863.01,126.78,Advanced mobile framework,West Terrifurt,0,Iceland,24-04-2016 12:00,1
45.47,18,62548.93,257.88,Monitored national standardization,Wrightburgh,1,Italy,24-04-2016 18:00,1
54.53,24,29286.71,230.32,Robust logistical utilization,South Manuel,1,France,25-04-2016 00:00,1
89.51,43,65298.31,182.65,Advanced mobile framework,Davidton,1,Canada,25-04-2016 06:00,1
89.31,54,40661.38,241.1,Organic bottom-line service-desk,West Jodi,0,Canada,25-04-2016 12:00,0
36.02,50,44033.65,167.69,Cloned 5thgeneration orchestration,Davidton,1,Tunisia,25-04-2016 18:00,0
79.4,48,75551.71,187.08,Monitored national standardization,South Manuel,0,France,26-04-2016 00:00,0
66.54,42,75841.1,180.13,Robust logistical utilization,Wrightburgh,0,Canada,26-04-2016 06:00,1
30.64,60,75845.51,203.63,Triple-buffered reciprocal time-frame,Wrightburgh,0,San Marino,26-04-2016 12:00,0
51.58,59,20017.24,131.49,Robust logistical utilization,Millerport,1,India,26-04-2016 18:00,1
65.16,51,20921.99,240.72,Monitored national standardization,South Manuel,1,France,27-04-2016 00:00,1
43.58,30,47285.54,180.79,Cloned 5thgeneration orchestration,South Manuel,0,India,27-04-2016 06:00,0
63.52,50,37655.11,289.4,Robust logistical utilization,South Manuel,1,India,27-04-2016 12:00,1
76.2,39,77674.32,191.77,Advanced mobile framework,Wrightburgh,1,Nauru,27-04-2016 18:00,1
34.05,58,67319.36,144.08,Triple-buffered reciprocal time-frame,Lake Jose,1,France,28-04-2016 00:00,0
72.05,34,34895.46,118.6,Vision-oriented solution,West Jodi,0,Canada,28-04-2016 06:00,1
51.21,54,36144.55,289.42,Triple-buffered reciprocal time-frame,New Michael,0,Italy,28-04-2016 12:00,0
82.36,31,33752.45,266.99,Vision-oriented solution,Davidton,0,Nauru,28-04-2016 18:00,0
70.55,60,49559.89,101.32,Cloned 5thgeneration orchestration,New Michael,1,France,29-04-2016 00:00,1
83.89,54,72126.13,198.16,Robust logistical utilization,Millerport,0,San Marino,29-04-2016 06:00,0
61.54,45,48699.2,208.15,Vision-oriented solution,Millerport,0,Canada,29-04-2016 12:00,0
71.89,47,38939.08,101.68,Triple-buffered reciprocal time-frame,Millerport,0,France,29-04-2016 18:00,1
66.77,34,31229.15,152.57,Robust logistical utilization,New Michael,1,France,30-04-2016 00:00,0
59.93,31,45145.58,250.44,Vision-oriented solution,Millerport,1,Canada,30-04-2016 06:00,0
64.28,54,61160.71,262.84,Robust logistical utilization,West Terrifurt,1,India,30-04-2016 12:00,0
38.75,27,48379.22,101.95,Optimized content strategy,New Michael,0,France,30-04-2016 18:00,1
48.0,53,71510.12,109.54,Monitored national standardization,Davidton,0,Italy,01-05-2016 00:00,1
58.59,58,25778.11,248.92,Robust logistical utilization,Lake Jose,1,Iceland,01-05-2016 06:00,1
31.19,25,41065.43,235.92,Triple-buffered reciprocal time-frame,Davidton,1,France,01-05-2016 12:00,1
70.39,49,66484.66,189.39,Monitored national standardization,Millerport,1,Canada,01-05-2016 18:00,0
82.1,58,68463.03,167.48,Optimized content strategy,West Jodi,0,San Marino,02-05-2016 00:00,1
43.69,38,59180.79,242.09,Optimized content strategy,South Manuel,1,France,02-05-2016 06:00,1
54.84,29,71252.71,125.01,Triple-buffered reciprocal time-frame,South Manuel,0,Italy,02-05-2016 12:00,0
53.82,24,23827.54,275.74,Cloned 5thgeneration orchestration,Wrightburgh,1,Nauru,02-05-2016 18:00,0
45.75,27,25058.68,286.32,Optimized content strategy,South Manuel,0,Italy,03-05-2016 00:00,1
56.59,26,27876.63,267.7,Cloned 5thgeneration orchestration,Wrightburgh,1,France,03-05-2016 06:00,1
58.03,52,76091.45,209.71,Organic bottom-line service-desk,Davidton,1,India,03-05-2016 12:00,1
84.54,48,52380.09,260.94,Advanced mobile framework,South Manuel,1,India,03-05-2016 18:00,1
39.34,18,20005.54,263.08,Organic bottom-line service-desk,Lake Jose,1,Canada,04-05-2016 00:00,0
71.27,49,76817.45,195.41,Cloned 5thgeneration orchestration,Millerport,1,Italy,04-05-2016 06:00,0
62.89,30,44704.15,212.11,Optimized content strategy,West Terrifurt,0,India,04-05-2016 12:00,1
43.24,23,45334.36,147.91,Robust logistical utilization,South Manuel,1,India,04-05-2016 18:00,0
81.21,29,28197.44,122.07,Advanced mobile framework,New Michael,1,Canada,05-05-2016 00:00,0
49.24,27,22977.92,206.99,Organic bottom-line service-desk,West Jodi,1,Iceland,05-05-2016 06:00,0
72.91,18,33968.63,130.14,Advanced mobile framework,West Terrifurt,1,India,05-05-2016 12:00,1
77.14,49,79877.81,192.74,Cloned 5thgeneration orchestration,Lake Jose,0,San Marino,05-05-2016 18:00,0
45.99,43,24283.08,194.03,Triple-buffered reciprocal time-frame,South Manuel,1,Tunisia,06-05-2016 00:00,0
88.48,33,43087.87,294.99,Triple-buffered reciprocal time-frame,Wrightburgh,0,Canada,06-05-2016 06:00,0
61.27,31,48369.53,236.29,Robust logistical utilization,Lake Jose,0,Tunisia,06-05-2016 12:00,0
45.2,58,37928.79,172.09,Cloned 5thgeneration orchestration,West Terrifurt,0,Italy,06-05-2016 18:00,1
49.47,28,67663.42,216.94,Optimized content strategy,West Terrifurt,0,Tunisia,07-05-2016 00:00,1
71.3,27,42283.92,117.9,Organic bottom-line service-desk,New Michael,0,France,07-05-2016 06:00,0
33.59,59,29235.11,207.27,Monitored national standardization,Davidton,1,Italy,07-05-2016 12:00,1
88.9,59,65401.85,261.11,Advanced mobile framework,West Terrifurt,0,India,07-05-2016 18:00,1
73.46,34,73919.78,197.06,Advanced mobile framework,South Manuel,1,Italy,08-05-2016 00:00,0
62.62,38,63944.14,155.06,Organic bottom-line service-desk,West Jodi,0,Canada,08-05-2016 06:00,1
79.17,52,42026.76,100.14,Optimized content strategy,Davidton,0,France,08-05-2016 12:00,0
49.24,22,59497.37,207.79,Optimized content strategy,West Terrifurt,1,San Marino,08-05-2016 18:00,1
49.36,59,39321.44,119.25,Monitored national standardization,Wrightburgh,0,San Marino,09-05-2016 00:00,0
42.12,49,31497.0,106.36,Optimized content strategy,New Michael,1,Tunisia,09-05-2016 06:00,1
43.24,22,20785.17,284.21,Advanced mobile framework,West Jodi,1,Tunisia,09-05-2016 12:00,1
63.48,44,69321.59,258.85,Cloned 5thgeneration orchestration,South Manuel,0,Nauru,09-05-2016 18:00,1
34.68,31,77635.2,119.42,Triple-buffered reciprocal time-frame,Millerport,0,Italy,10-05-2016 00:00,0
64.2,29,53505.41,211.63,Monitored national standardization,Lake Jose,1,India,10-05-2016 06:00,0
40.01,29,52997.93,200.94,Organic bottom-line service-desk,New Michael,1,France,10-05-2016 12:00,1
80.69,44,65851.06,186.12,Vision-oriented solution,West Terrifurt,0,India,10-05-2016 18:00,1
51.6,46,46849.99,179.42,Cloned 5thgeneration orchestration,South Manuel,0,San Marino,11-05-2016 00:00,1
30.39,32,32889.37,162.98,Robust logistical utilization,Davidton,0,Tunisia,11-05-2016 06:00,1
51.34,26,35899.29,277.93,Triple-buffered reciprocal time-frame,West Terrifurt,1,Iceland,11-05-2016 12:00,0
64.23,54,75072.91,246.85,Vision-oriented solution,New Michael,0,Canada,11-05-2016 18:00,0
65.71,37,22242.3,261.67,Optimized content strategy,West Jodi,0,France,12-05-2016 00:00,1
82.79,45,44991.3,273.57,Triple-buffered reciprocal time-frame,Wrightburgh,1,Tunisia,12-05-2016 06:00,1
61.46,38,52395.78,129.92,Triple-buffered reciprocal time-frame,Davidton,0,India,12-05-2016 12:00,1
75.17,54,50283.76,144.42,Robust logistical utilization,Millerport,0,San Marino,12-05-2016 18:00,1
34.95,54,64718.9,209.63,Robust logistical utilization,West Jodi,1,India,13-05-2016 00:00,0
75.72,48,53557.77,197.57,Triple-buffered reciprocal time-frame,West Terrifurt,0,Nauru,13-05-2016 06:00,1
76.61,38,61084.28,215.2,Monitored national standardization,Millerport,1,France,13-05-2016 12:00,1
41.43,40,55632.63,104.84,Robust logistical utilization,Davidton,1,Canada,13-05-2016 18:00,0
56.43,32,31981.11,174.76,Monitored national standardization,West Jodi,0,Italy,14-05-2016 00:00,0
